Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Player,Group,Team,Map Name
477,550,0.87,0.62,343,-73,59,82,0.72,0.87,71.2%,11.0%,430,240,78,19,6,0,315,4,63,84,12,1,sener1,asia_rmr,DRILLAS,Ancient
477,392,1.22,0.83,302,85,94,68,1.38,1.29,66.0%,20.0%,272,181,76,38,5,2,372,5,35,64,2,0,kvem,asia_rmr,DRILLAS,Ancient
703,594,1.18,0.75,475,109,100,64,1.56,1.08,76.0%,15.9%,466,296,136,38,4,1,316,269,15,102,3,8,woro2k,asia_rmr,DRILLAS,Ancient
340,426,0.80,0.56,254,-86,51,53,0.96,0.94,72.5%,12.1%,358,187,49,17,1,0,250,2,29,53,9,1,meztal,asia_rmr,DRILLAS,Ancient
504,493,1.02,0.69,352,11,73,56,1.30,1.04,75.3%,14.9%,380,237,85,23,7,0,396,1,25,79,0,11,hadji,asia_rmr,DRILLAS,Ancient
444,549,0.81,0.56,327,-105,74,90,0.82,0.95,67.6%,13.1%,461,234,74,15,3,1,348,1,26,63,7,0,sener1,asia_rmr,DRILLAS,Anubis
280,279,1.00,0.69,182,1,39,52,0.75,0.94,82.1%,16.8%,221,109,50,21,2,0,217,2,13,45,4,1,kvem,asia_rmr,DRILLAS,Anubis
570,498,1.14,0.75,385,72,92,59,1.56,1.15,70.7%,17.8%,370,241,107,34,2,1,195,269,12,93,4,1,woro2k,asia_rmr,DRILLAS,Anubis
211,278,0.76,0.53,157,-67,29,47,0.62,0.83,48.3%,7.4%,242,114,32,11,0,0,162,0,17,30,2,0,meztal,asia_rmr,DRILLAS,Anubis
403,381,1.06,0.70,273,22,60,46,1.30,1.05,66.7%,13.7%,303,179,65,23,5,1,324,0,13,56,7,5,hadji,asia_rmr,DRILLAS,Anubis
101,101,1.00,0.63,69,0,15,12,1.25,1.01,86.7%,13.8%,91,47,15,4,3,0,82,1,6,15,0,0,sener1,asia_rmr,DRILLAS,Dust2
93,71,1.31,0.87,61,22,13,8,1.62,1.15,76.9%,17.2%,46,37,18,4,2,0,72,2,4,14,1,0,kvem,asia_rmr,DRILLAS,Dust2
239,201,1.19,0.78,156,38,50,32,1.56,1.31,92.0%,27.5%,151,96,43,12,4,1,87,117,1,32,3,0,woro2k,asia_rmr,DRILLAS,Dust2
106,86,1.23,0.73,69,20,8,14,0.57,0.78,87.5%,8.3%,77,39,24,5,1,0,74,1,11,17,3,0,meztal,asia_rmr,DRILLAS,Dust2
218,171,1.27,0.78,137,47,24,27,0.89,0.94,79.2%,12.6%,141,76,44,14,3,0,170,2,5,40,1,1,hadji,asia_rmr,DRILLAS,Dust2
162,187,0.87,0.57,118,-25,26,23,1.13,0.99,65.4%,11.9%,166,82,29,6,1,0,113,3,13,28,6,2,sener1,asia_rmr,DRILLAS,Inferno
87,99,0.88,0.64,63,-12,15,20,0.75,0.98,53.3%,14.0%,72,44,15,3,1,0,66,0,4,15,0,2,kvem,asia_rmr,DRILLAS,Inferno
14,13,1.08,0.64,9,1,1,3,0.33,0.67,100.0%,11.1%,13,5,3,1,0,0,11,2,0,1,0,0,woro2k,asia_rmr,DRILLAS,Inferno
38,60,0.63,0.47,27,-22,9,8,1.12,1.06,66.7%,16.7%,54,17,9,1,0,0,27,0,3,6,2,0,meztal,asia_rmr,DRILLAS,Inferno
154,142,1.08,0.68,99,12,26,16,1.62,1.12,84.6%,17.9%,129,60,26,10,3,0,124,1,2,23,3,3,hadji,asia_rmr,DRILLAS,Inferno
516,613,0.84,0.56,386,-97,75,87,0.86,0.92,65.3%,9.9%,529,280,84,20,2,0,396,2,23,85,13,0,sener1,asia_rmr,DRILLAS,Mirage
272,229,1.19,0.84,173,43,48,34,1.41,1.23,70.8%,18.3%,152,101,50,18,3,1,211,4,15,41,1,2,kvem,asia_rmr,DRILLAS,Mirage
967,793,1.22,0.80,627,174,178,104,1.71,1.26,75.8%,21.1%,584,370,190,54,10,3,377,436,9,132,12,5,woro2k,asia_rmr,DRILLAS,Mirage
342,361,0.95,0.60,250,-19,44,38,1.16,0.94,81.8%,12.0%,318,172,66,10,2,0,266,4,18,48,5,1,meztal,asia_rmr,DRILLAS,Mirage
471,453,1.04,0.70,329,18,73,73,1.00,1.03,75.3%,15.4%,346,219,81,26,3,0,374,3,23,63,8,2,hadji,asia_rmr,DRILLAS,Mirage
54,54,1.00,0.68,35,0,6,6,1.00,0.92,66.7%,11.1%,44,22,9,2,2,0,41,0,4,10,0,1,sener1,asia_rmr,DRILLAS,Nuke
183,187,0.98,0.72,129,-4,33,35,0.94,1.09,57.6%,17.9%,124,81,44,2,2,0,137,1,11,33,0,5,kvem,asia_rmr,DRILLAS,Nuke
440,401,1.10,0.72,300,39,80,61,1.31,1.15,71.2%,20.0%,314,186,91,20,3,0,181,182,7,66,7,4,woro2k,asia_rmr,DRILLAS,Nuke
55,71,0.77,0.53,36,-16,5,9,0.56,0.76,100.0%,10.4%,67,22,10,3,1,0,36,0,9,10,0,2,meztal,asia_rmr,DRILLAS,Nuke
270,281,0.96,0.68,186,-11,43,42,1.02,1.03,72.1%,16.9%,214,121,49,13,3,0,208,0,7,53,1,10,hadji,asia_rmr,DRILLAS,Nuke
163,190,0.86,0.60,110,-27,21,31,0.68,0.86,71.4%,12.1%,162,69,33,5,2,1,130,0,3,28,2,2,sener1,asia_rmr,DRILLAS,Vertigo
56,43,1.30,0.77,37,13,9,3,3.00,1.21,55.6%,10.9%,36,22,11,4,0,0,47,0,1,8,0,0,kvem,asia_rmr,DRILLAS,Vertigo
372,320,1.16,0.76,244,52,66,38,1.74,1.21,83.3%,21.0%,248,147,72,19,6,0,169,133,16,53,3,0,woro2k,asia_rmr,DRILLAS,Vertigo
94,112,0.84,0.55,68,-18,11,10,1.10,0.89,81.8%,10.2%,103,48,15,4,1,0,71,1,8,13,1,1,meztal,asia_rmr,DRILLAS,Vertigo
202,220,0.92,0.63,147,-18,24,26,0.92,0.90,83.3%,11.3%,175,100,40,6,1,0,163,0,9,25,5,2,hadji,asia_rmr,DRILLAS,Vertigo
